dt,AverageTemperature
3/1/1961,26.115
4/1/1961,27.371
5/1/1961,28.574
6/1/1961,27.977
7/1/1961,26.419
8/1/1961,27.032
9/1/1961,26.918
10/1/1961,27.188
11/1/1961,27.716
12/1/1961,25.702
1/1/1962,23.101
2/1/1962,24.836
3/1/1962,25.421
4/1/1962,27.107
5/1/1962,28.964
6/1/1962,28.599
7/1/1962,27.013
8/1/1962,26.848
9/1/1962,26.978
10/1/1962,28.196
11/1/1962,27.679
12/1/1962,25.841
1/1/1963,25.188
2/1/1963,25.11
3/1/1963,26.171
4/1/1963,26.957
5/1/1963,28.943
6/1/1963,28.127
7/1/1963,27.14
8/1/1963,26.397
9/1/1963,26.901
10/1/1963,28.146
11/1/1963,28.123
12/1/1963,26.467
1/1/1964,23.061
2/1/1964,23.717
3/1/1964,26.062
4/1/1964,27.87
5/1/1964,29.1
6/1/1964,28.16
7/1/1964,27.01
8/1/1964,26.462
9/1/1964,26.603
10/1/1964,27.405
11/1/1964,27.125
12/1/1964,25.121
1/1/1965,25.183
2/1/1965,24.172
3/1/1965,25.18
4/1/1965,27.21
5/1/1965,28.498
6/1/1965,28.241
7/1/1965,26.757
8/1/1965,27.098
9/1/1965,27.501
10/1/1965,28.535
11/1/1965,28.275
12/1/1965,26.497
1/1/1966,24.97
2/1/1966,25.564
3/1/1966,25.811
4/1/1966,26.885
5/1/1966,28.691
6/1/1966,28.611
7/1/1966,27.602
8/1/1966,27.28
9/1/1966,27.624
10/1/1966,29.19
11/1/1966,28.397
12/1/1966,25.998
1/1/1967,23.964
2/1/1967,25.061
3/1/1967,26.144
4/1/1967,27.796
5/1/1967,29.339
6/1/1967,28.265
7/1/1967,27.009
8/1/1967,26.882
9/1/1967,27.207
10/1/1967,28.124
11/1/1967,27.517
12/1/1967,26.449
1/1/1968,23.587
2/1/1968,23.074
3/1/1968,26.04
4/1/1968,26.677
5/1/1968,28.153
6/1/1968,28.857
7/1/1968,27.593
8/1/1968,27.024
9/1/1968,27.631
10/1/1968,27.98
11/1/1968,27.734
12/1/1968,25.976
1/1/1969,24.229
2/1/1969,24.52
3/1/1969,26.391
4/1/1969,28.188
5/1/1969,29.627
6/1/1969,28.674
7/1/1969,27.441
8/1/1969,27.073
9/1/1969,26.751
10/1/1969,28.387
11/1/1969,28.834
12/1/1969,27.161
1/1/1970,24.599
2/1/1970,24.568
3/1/1970,25.658
4/1/1970,27.835
5/1/1970,29.348
6/1/1970,27.87
7/1/1970,27.384
